RODAL,fecha,GRADO.REVISADO
GR000030,1993,2
GR000030,1995,0
GR000030,1996,0
GR000030,1998,4
GR000030,1999,4
GR000030,2000,3
GR000030,2001,2
GR000030,2003,1
GR000030,2004,1
GR000030,2005,1
GR000030,2006,0
GR000030,2007,1
GR000030,2008,2
GR000030,2009,3
GR000030,2010,4
GR000030,2011,1
GR000030,2012,0
GR000030,2013,0
GR000030,2014,0
GR000030,2015,3
GR134018,1993,2
GR134018,1995,0
GR134018,1996,0
GR134018,1998,4
GR134018,1999,4
GR134018,2000,3
GR134018,2001,2
GR134018,2002,0
GR134018,2003,0
GR134018,2005,1
GR134018,2006,0
GR134018,2007,1
GR134018,2008,3
GR134018,2009,3
GR134018,2011,3
GR134018,2012,0
GR134018,2013,0
GR134018,2014,0
GR134018,2015,2
GR134019,1993,1
GR134020,1994,
GR134020,1995,0
GR134020,1996,0
GR134020,1997,
GR134020,1998,3
GR134020,1999,3
GR134020,2000,3
GR134020,2001,0
GR134020,2002,0
GR134020,2003,0
GR134020,2004,
GR134020,2005,0
GR134020,2006,0
GR134020,2007,0
GR134020,2008,3
GR134020,2009,3
GR134020,2010,
GR134020,2011,3
GR134020,2012,1
GR134020,2013,0
GR134020,2014,1
GR134020,2015,0
GR134021,1993,1
GR134021,1994,
GR134021,1995,0
GR134021,1996,0
GR134021,1997,
GR134021,1998,4
GR134021,1999,3
GR134021,2000,3
GR134021,2001,0
GR134021,2002,0
GR134021,2003,0
GR134021,2004,
GR134021,2005,0
GR134021,2006,0
GR134021,2007,0
GR134021,2008,3
GR134021,2009,3
GR134021,2010,
GR134021,2011,3
GR134021,2012,1
GR134021,2013,0
GR134021,2014,0
GR134021,2015,3
