I_huevo,I_l1,I_l2,I_crisalida,F_huevo,F_l1,F_l2,F_crisalida,max_crisalida
131,159,179,286,185,209,-2,149,34
71,115,140,248,179,203,-4,145,12.5
33,77,107,222,174,197,-1,140,0.5
6,50,80,206,180,204,12,143,-11
-9,35,65,195,188,212,5,155,-22
-20,24,54,183,186,199,17,154,-35
-32,12,42,173,190,206,9,166,-33
-42,1,31,170,188,212,17,152,-33
-45,-1,29,179,190,212,11,166,-27
-36,8,38,176,191,215,9,156,-28
-39,5,35,183,192,214,12,158,-27
-32,11,41,166,189,211,7,156,-36
-49,-5,25,167,186,210,2,154,-31
-48,-4,26,171,188,212,6,151,-24
-44,0,30,177,184,208,10,145,-32
-38,5,35,166,191,215,10,155,-26
-49,-5,25,180,132,212,-7,158,-28
-35,9,39,194,171,195,-12,142,-23.5
-21,23,53,177,163,186,-7,132,-35
-38,5,35,191,177,201,8,137,-19
-24,20,50,,,,,,
