fecha,huevo,L1,L2,crisalida,radiacion,tmax,tmin,tmed,exergia
06-25-01,134579,0,0,0,0,0,0,0,95.86977798
06-26-01,133882,0,0,0,22.01064938,25.4453502,12.62401956,19.17128175,95.88769244
06-27-01,133185,0,0,0,23.61975343,18.91501754,11.74402168,15.6995398,95.98883087
06-28-01,132488,0,0,0,22.09791583,21.50087151,11.02750558,16.33062812,96.08823369
06-29-01,131791,0,0,0,21.13953768,22.2925922,12.16062281,17.2182251,96.185648
06-30-01,131094,0,0,0,21.58170263,22.44136465,11.63368052,17.43731109,96.28216489
07-01-01,130397,0,0,0,21.14731109,24.70564353,14.98162398,19.74100755,96.37688039
07-02-01,129700,0,0,0,22.52213094,25.60171113,14.7835583,20.30005739,96.47079876
07-03-01,129003,0,0,0,19.53626103,25.0167818,15.33261771,20.29485067,96.56333557
07-04-01,128306,0,0,0,20.4986024,24.19248592,15.39845892,19.80079073,96.65442863
07-05-01,127609,0,0,0,23.46078329,21.26773302,14.08402593,17.89778191,96.74377893
07-06-01,126912,0,0,0,22.29803699,19.82502923,13.95274737,16.97073015,96.83016659
07-07-01,126215,0,0,0,21.75618769,22.74208736,13.62529493,18.17437879,96.9139111
07-08-01,125518,0,0,0,19.73385695,24.54014242,14.46701031,19.48442555,96.99615998
07-09-01,124821,0,0,0,21.87478584,23.52179828,14.506802,19.16599639,97.07745256
07-10-01,124124,0,0,0,21.58735679,25.06786056,14.75233287,19.97288447,97.15718542
07-11-01,123427,0,0,0,19.54705176,26.85738123,15.44407482,21.1697343,97.23606028
07-12-01,122730,0,0,0,7.946702094,26.94751833,15.68731002,21.42810182,97.31384781
07-13-01,122033,0,0,0,20.90520459,26.6232437,15.84725263,21.34842385,97.38988669
07-14-01,121336,0,0,0,23.11400149,23.85224785,15.84959082,19.96945053,97.46356521
07-15-01,120639,0,0,0,12.04111489,21.93255394,14.81300882,18.48769051,97.53510612
07-16-01,119942,0,0,0,18.96443724,22.77928579,14.26422574,18.50600808,97.60466829
07-17-01,119245,0,0,0,22.54388564,25.0212775,13.85980444,19.47348815,97.67303746
07-18-01,118548,0,0,0,22.62974705,22.90894888,14.52068233,18.82610692,97.74054047
07-19-01,117851,0,0,0,23.25384313,21.5986396,13.92565629,17.83089276,97.80698175
07-20-01,117154,0,0,0,21.50934424,23.25746626,13.26771177,18.37794877,97.87238175
07-21-01,116457,0,0,0,4.93345414,23.47504517,14.69506855,19.19461473,97.93672085
07-22-01,115760,0,0,0,5.799619513,26.1300457,15.69941545,20.89489212,97.99946266
07-23-01,115063,0,0,0,12.45111064,27.68750133,16.46808375,22.0046955,98.06072995
07-24-01,114366,0,0,0,20.68081518,25.22074609,15.7848443,20.5840727,98.1199718
07-25-01,113669,0,0,0,21.19527261,24.96899777,14.33103412,19.77164736,98.17768674
07-26-01,112972,0,0,0,20.42554044,25.48120948,14.47534276,20.07185248,98.23435407
07-27-01,105803,6391,0,0,20.52261558,25.18120948,15.03129982,20.18423212,98.28878196
07-28-01,99049,12407,0,0,15.02307365,25.21429482,15.1097885,20.20994473,98.34020472
07-29-01,98430,12394,0,0,14.9669019,24.21031991,15.85937932,19.89159741,98.39052374
07-30-01,89777,20296,0,0,2.297352535,26.852758,17.35444787,21.65343288,98.43767707
07-31-01,86514,22947,0,0,14.14972367,29.39151876,16.59705601,23.01566691,98.48261335
08-01-01,71771,36941,0,0,9.622003401,28.56124987,17.42490169,22.93247316,98.52292112
08-02-01,54455,53526,0,0,19.77904878,24.77475821,15.6159847,20.47155383,98.5587297
08-03-01,39209,68168,0,0,19.01521628,25.23230949,15.60731215,20.44145605,98.58895127
08-04-01,30396,76551,0,0,19.93140397,25.78723563,15.67376979,20.71860028,98.61665747
08-05-01,20915,85637,0,0,19.08042194,24.98462111,15.40470826,20.28640663,98.64122373
08-06-01,11500,94689,0,0,19.02511,26.73432883,15.50206186,21.11899564,98.6631663
08-07-01,1215,104667,0,0,19.09350197,27.12736741,16.06340738,21.6608545,98.68248083
08-08-01,0,105748,0,0,18.93711872,27.4639069,16.63920714,21.96480816,98.70145772
08-09-01,0,105637,0,0,20.22204591,27.15793389,15.48770326,21.45179509,98.72035338
08-10-01,0,105534,0,0,17.03005527,26.15263046,16.03878202,21.25107875,98.73916526
08-11-01,0,105432,0,0,5.167570411,22.90173238,17.50824742,20.02809969,98.75779657
08-12-01,0,99010,6319,0,11.80435753,25.28963758,15.77421618,20.48674992,98.76699048
08-13-01,0,93012,12222,0,15.54725157,25.96703157,16.27245191,21.04474014,98.76748553
08-14-01,0,92927,12222,0,19.39721649,26.08029546,16.71037305,21.06185142,98.76781793
08-15-01,0,86535,18523,0,16.87462536,25.07520459,16.7314061,20.80248167,98.75907206
08-16-01,0,85055,19913,0,13.70849931,22.60999043,15.07944521,18.87479647,98.74789001
08-17-01,0,71936,32951,0,20.92259858,23.04305452,13.66830694,18.29354767,98.71719694
08-18-01,0,55295,49517,0,14.83128813,23.51380593,12.94141779,18.36766075,98.66048845
08-19-01,0,43727,61023,0,19.70820278,24.49663089,14.62053353,19.41290785,98.58581483
08-20-01,0,38970,65733,0,20.44470826,26.22643214,13.88894675,20.04249017,98.50281153
08-21-01,0,38791,65870,0,20.1218291,26.65447975,14.52259539,20.56480923,98.4192656
08-22-01,0,34767,69850,0,18.92380699,27.95458603,14.5685195,21.33005208,98.32933161
08-23-01,0,32502,72078,0,10.21339462,28.50614305,17.26012329,22.30868636,98.2362623
08-24-01,0,25696,78843,0,14.60005633,28.5499628,17.54299075,22.63285578,98.13213689
08-25-01,0,24251,80254,0,1.769779998,23.89228398,17.84946328,20.94479009,98.02537121
08-26-01,0,23050,81426,0,15.2901828,24.70113721,16.48944627,20.37740249,97.91679035
08-27-01,0,19616,84835,0,15.68728239,23.49088107,14.55810394,19.09088851,97.80368517
08-28-01,0,15185,89239,0,16.45411308,24.8516633,14.55551068,19.51646509,97.68337016
08-29-01,0,13156,91245,0,19.61772239,22.37095334,13.57553406,18.1549814,97.55895699
08-30-01,0,8568,95809,0,18.10201084,22.53659262,14.38550324,18.33371028,97.42727383
08-31-01,0,1030,103334,0,15.90257732,23.13165055,13.67955149,18.16424062,97.28370947
09-01-01,0,0,104363,0,17.56229036,22.11713253,11.62287172,16.9375736,97.13865996
09-02-01,0,0,104363,0,14.91767244,20.71197789,11.87513019,16.38625996,96.99361046
09-03-01,0,0,104363,0,13.8727665,23.38162398,12.73970666,17.82678499,96.84856095
09-04-01,0,0,104363,0,15.13735041,23.75697736,12.46478903,18.04929536,96.70351145
09-05-01,0,0,104363,0,11.28960357,22.95504304,12.58284621,17.65403762,96.55846194
09-06-01,0,0,104363,0,15.48589967,21.51631417,11.50943777,16.45770858,96.41341244
09-07-01,0,0,104363,0,15.51345095,19.6458816,10.54177915,15.22407057,96.26836294
09-08-01,0,0,104363,0,15.68493251,20.59892656,11.50499522,15.87561059,96.12331343
09-09-01,0,0,104363,0,16.65166543,22.74837921,11.10589861,16.7414603,95.97826393
09-10-01,0,0,104363,0,16.25451908,23.58378149,11.11238176,17.23580083,95.83321442
09-11-01,0,0,104363,0,14.92001063,21.19449463,11.34191731,16.26202253,95.68816492
09-12-01,0,0,104363,0,14.47215113,20.96983739,10.87530024,15.86876926,95.54311541
09-13-01,0,0,104363,0,13.96532044,21.16906154,11.07661813,15.95110958,95.39806591
09-14-01,0,0,104363,0,15.73799554,22.56148369,10.37442874,16.32470932,95.2530164
09-15-01,0,0,104363,0,12.80669359,21.44236369,10.64915506,16.18152088,95.1079669
09-16-01,0,0,104363,0,12.61916038,21.32551812,12.83947285,16.89794452,94.96291739
09-17-01,0,0,104363,0,12.39427676,21.24607291,12.33071527,16.552555,94.81786789
09-18-01,0,0,104363,0,5.89564247,17.43597619,10.70590924,14.15980232,94.67281838
09-19-01,0,0,104363,0,0.333833564,14.28289935,10.6247529,12.32126156,94.52776888
09-20-01,0,0,104363,0,13.65855139,17.84205548,9.851939632,13.56698161,94.38271937
09-21-01,0,0,104363,0,9.842168137,17.55795515,12.19688596,14.43957275,94.23766987
09-22-01,0,0,104363,0,0.289801254,12.67601233,10.67183548,11.74967691,94.09262036
09-23-01,0,0,104363,0,2.045073865,12.33115103,10.74677436,11.44805612,93.94757086
09-24-01,0,0,104363,0,9.31033266,13.78903178,9.999957488,11.58944309,93.80252135
09-25-01,0,0,104363,0,14.7971134,15.82686789,8.211690934,11.88013498,93.65747185
09-26-01,0,0,104363,0,3.679972367,15.43205442,8.877053885,12.13117547,93.51242234
09-27-01,0,0,104363,0,9.502490169,16.42731427,9.985024976,13.14453502,93.36737284
09-28-01,0,0,104363,0,1.337310022,15.1681794,11.89271974,13.326599,93.22232333
